K02939.01,,1080.0
K03846.01,,1080.0
K06736.01,,1080.0
K01823.01,,1081.0
K02195.03,Kepler-372 b,1081.0
K05447.02,Kepler-1629 b,1081.0
K06370.01,,1081.0
K00284.03,Kepler-132 b,1082.0
K02248.04,,1082.0
K04520.01,,1082.0
K05054.01,,1082.0
K06473.01,,1082.0
K00309.01,,1083.0
K02656.01,,1083.0
K04056.01,,1083.0
K04309.01,,1083.0
K06194.01,,1083.0
K07396.01,,1083.0
K03013.01,,1084.0
K03184.01,,1084.0
K01952.03,Kepler-341 b,1085.0
K06355.01,,1085.0
K00184.01,,1086.0
K01438.01,Kepler-848 b,1086.0
K01559.01,,1086.0
K04725.01,,1086.0
K04784.01,,1086.0
K06760.01,,1086.0
K00414.02,,1087.0
K01241.01,Kepler-56 c,1087.0
K01396.02,Kepler-294 b,1087.0
K01763.01,,1087.0
K01839.01,Kepler-971 b,1087.0
K02059.02,,1087.0
K04829.01,,1087.0
K00551.02,Kepler-183 b,1088.0
K00642.01,,1088.0
K01240.02,Kepler-280 c,1088.0
K01757.01,,1088.0
K02001.01,,1088.0
K01283.01,Kepler-806 b,1089.0
K01534.02,Kepler-887 c,1089.0
K04524.02,,1089.0
K04557.01,,1089.0
K00720.04,Kepler-221 b,1090.0
K01909.02,Kepler-334 b,1090.0
K04523.01,,1090.0
K06093.02,,1090.0
K07823.01,,1090.0
K06377.01,,1091.0
K01932.02,Kepler-340 b,1092.0
K02034.01,Kepler-1065 b,1092.0
K04716.01,,1092.0
K00115.01,Kepler-105 b,1093.0
K00219.01,Kepler-494 b,1093.0
K00353.03,,1093.0
K01590.02,,1093.0
K02415.01,,1093.0
K03085.01,,1093.0
K03319.02,Kepler-1468 b,1093.0
K05827.01,Kepler-1637 b,1093.0
K03741.04,,1094.0
K07538.01,,1094.0
K00070.02,Kepler-20 b,1095.0
K00302.01,Kepler-516 b,1095.0
K06166.02,Kepler-1642 c,1095.0
K00658.02,Kepler-203 c,1096.0
K00944.01,,1096.0
K02064.01,,1096.0
K06718.01,,1096.0
K00939.02,Kepler-256 d,1097.0
K01491.01,Kepler-862 b,1097.0
K02462.01,,1097.0
K06272.01,,1097.0
K07449.01,,1097.0
K00533.02,,1098.0
K00564.03,Kepler-603 d,1098.0
K01306.02,Kepler-286 c,1098.0
K01538.01,,1098.0
K01954.01,,1098.0
K02615.01,Kepler-1290 b,1098.0
K04156.01,,1098.0
K04467.01,,1098.0
